bench_json,blocks,blocks_per_sm_requested,cache_policy,compute_capability,condition,cuda_elapsed_ms,device_index,device_name,estimated_memory_gbps,estimated_tflops,fp16_ops_estimate,fp16_path,host_end_unix_ns,host_start_unix_ns,iters,kernel,l2_cache_bytes,mem_mib,mem_stride,memory_bytes_estimate,power_csv,power_logger_errors,regs_per_block,repeat_index,repeats,role,run_id,runner_wall_end_unix_ns,runner_wall_start_unix_ns,schema_version,shared_mem_per_block,sm_count,threads,unroll,validity_note,warmup,power_energy_j,avg_power_w,power_sample_count,avg_sm_clock_mhz,min_sm_clock_mhz,max_sm_clock_mhz,avg_temp_c,max_temp_c
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep000_baseline_065e2f5b/bench.json,656,8,none,8.6,matmul_tensor_mma_f16acc_vs_nop,549.424133301,0,NVIDIA GeForce RTX 3090,0,0,0,baseline_or_memory,1779942863391575803,1779942862819627700,1000000,baseline_nop,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep000_baseline_065e2f5b/power.csv,[],65536,0,10,baseline,matmul_tensor_mma_f16acc_vs_nop_rep000_baseline_065e2f5b,1779942863447150416,1779942862491244642,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,64.92703215237347,113.5190969457127,3,1940.0,1935.0,1950.0,51.0,51.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep000_test_87b8aa37/bench.json,656,8,none,8.6,matmul_tensor_mma_f16acc_vs_nop,1081.50476074,0,NVIDIA GeForce RTX 3090,0,159.006663902,171966464000000,tensor_core_mma_f16acc,1779942867203073088,1779942866079875138,1000000,tensor_mma_f16acc,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep000_test_87b8aa37/power.csv,[],65536,0,1,test,matmul_tensor_mma_f16acc_vs_nop_rep000_test_87b8aa37,1779942867243584502,1779942863682115195,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,264.33796365587796,235.34405814743337,7,1950.0,1950.0,1950.0,59.0,59.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep000_baseline_873d8e00/bench.json,656,8,none,8.6,matmul_tensor_mma_f32acc_vs_nop,563.35333252,0,NVIDIA GeForce RTX 3090,0,0,0,baseline_or_memory,1779942868325447375,1779942867739997629,1000000,baseline_nop,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep000_baseline_873d8e00/power.csv,[],65536,0,10,baseline,matmul_tensor_mma_f32acc_vs_nop_rep000_baseline_873d8e00,1779942868366173423,1779942867469402149,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,128.4141219788193,219.34268971195235,4,1923.75,1905.0,1935.0,56.0,59.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep000_test_4993fde6/bench.json,656,8,none,8.6,matmul_tensor_mma_f32acc_vs_nop,2124.55322266,0,NVIDIA GeForce RTX 3090,0,80.942412817,171966464000000,tensor_core_mma_f32acc,1779942874094546064,1779942871898772755,1000000,tensor_mma_f32acc,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep000_test_4993fde6/power.csv,[],65536,0,1,test,matmul_tensor_mma_f32acc_vs_nop_rep000_test_4993fde6,1779942874132725141,1779942868489487941,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,456.83766666001895,208.0532014791965,15,1950.0,1950.0,1950.0,59.0,59.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep001_baseline_d561703b/bench.json,656,8,none,8.6,matmul_tensor_mma_f16acc_vs_nop,560.228271484,0,NVIDIA GeForce RTX 3090,0,0,0,baseline_or_memory,1779942875095250091,1779942874516011505,1000000,baseline_nop,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep001_baseline_d561703b/power.csv,[],65536,1,10,baseline,matmul_tensor_mma_f16acc_vs_nop_rep001_baseline_d561703b,1779942875134847098,1779942874239569097,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,126.53829236654876,218.456255202841,4,1923.75,1905.0,1935.0,61.25,62.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep001_test_b31a6135/bench.json,656,8,none,8.6,matmul_tensor_mma_f16acc_vs_nop,1081.67370605,0,NVIDIA GeForce RTX 3090,0,158.981828843,171966464000000,tensor_core_mma_f16acc,1779942878826541414,1779942877708820069,1000000,tensor_mma_f16acc,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep001_test_b31a6135/power.csv,[],65536,1,1,test,matmul_tensor_mma_f16acc_vs_nop_rep001_test_b31a6135,1779942878864457766,1779942875289306025,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,266.86963194984406,238.76222203651668,8,1950.0,1950.0,1950.0,62.0,62.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep001_baseline_3fa18f08/bench.json,656,8,none,8.6,matmul_tensor_mma_f32acc_vs_nop,554.67199707,0,NVIDIA GeForce RTX 3090,0,0,0,baseline_or_memory,1779942879834143416,1779942879260580371,1000000,baseline_nop,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep001_baseline_3fa18f08/power.csv,[],65536,1,10,baseline,matmul_tensor_mma_f32acc_vs_nop_rep001_baseline_3fa18f08,1779942879900333062,1779942878983705148,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,132.76955006465445,231.48205105273905,4,1920.0,1905.0,1935.0,62.0,62.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep001_test_52f76154/bench.json,656,8,none,8.6,matmul_tensor_mma_f32acc_vs_nop,2124.984375,0,NVIDIA GeForce RTX 3090,0,80.9259898676,171966464000000,tensor_core_mma_f32acc,1779942886904033098,1779942884685212470,1000000,tensor_mma_f32acc,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f32acc_vs_nop_rep001_test_52f76154/power.csv,[],65536,1,1,test,matmul_tensor_mma_f32acc_vs_nop_rep001_test_52f76154,1779942886943279361,1779942880010959885,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,466.1042522848709,210.0684689888645,16,1950.0,1950.0,1950.0,61.0,61.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep002_baseline_2a23b806/bench.json,656,8,none,8.6,matmul_tensor_mma_f16acc_vs_nop,543.818786621,0,NVIDIA GeForce RTX 3090,0,0,0,baseline_or_memory,1779942887959540770,1779942887391249403,1000000,baseline_nop,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep002_baseline_2a23b806/power.csv,[],65536,2,10,baseline,matmul_tensor_mma_f16acc_vs_nop_rep002_baseline_2a23b806,1779942887998326828,1779942887114648833,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,121.84047585436718,214.3979003192691,4,1920.0,1905.0,1935.0,59.5,64.0
results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep002_test_e14bfc7c/bench.json,656,8,none,8.6,matmul_tensor_mma_f16acc_vs_nop,1089.7376709,0,NVIDIA GeForce RTX 3090,0,157.805377012,171966464000000,tensor_core_mma_f16acc,1779942891724927969,1779942890589673809,1000000,tensor_mma_f16acc,6291456,256,1,0,results/fp16_matmul_pjbit_gpu0_default_clock_cuda132_20260528_1331/raw/matmul_tensor_mma_f16acc_vs_nop_rep002_test_e14bfc7c/power.csv,[],65536,2,1,test,matmul_tensor_mma_f16acc_vs_nop_rep002_test_e14bfc7c,1779942891763914893,1779942888140931948,fp16-energy-bench-v1,49152,82,256,8,unchecked; run Nsight Compute validation separately,2,271.84886979064953,239.46080038204798,8,1935.0,1935.0,1935.0,64.0,64.0
