role,kernel,sm,architecture_chip,threads,threads_per_sm,blocks_per_sm_requested,unroll,registers_per_thread,stack_frame_bytes,spill_store_bytes,spill_load_bytes,has_spills,registers_per_sm_model,max_threads_per_sm_model,max_blocks_per_sm_model,active_blocks_per_sm_model,active_threads_per_sm_model,active_warps_per_sm_model,thread_occupancy_pct_model,warp_occupancy_pct_model,limiting_factors_model,avg_sm_util_pct_mean,tflops_mean,matmul_input_pj_per_bit_mean,gpu,architecture_generation,gpu_product_class,recommended_cuda_arch,input_dir,architecture_label
test,tensor_mma_f16acc,86,ga102,32,32.0,1,8,14,0,0,0,False,65536,1536,16,1,32,1.0,2.083333333333333,2.083333333333333,requested_blocks_per_sm,100.0,38.29817437035757,0.5784353929819288,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,32,32.0,1,8,14,0,0,0,False,65536,1536,16,1,32,1.0,2.083333333333333,2.083333333333333,requested_blocks_per_sm,100.0,38.29817437035757,0.5784353929819288,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,64,64.0,1,8,14,0,0,0,False,65536,1536,16,1,64,2.0,4.166666666666666,4.166666666666666,requested_blocks_per_sm,100.0,77.0182821688005,0.3240552504550143,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,64,64.0,1,8,14,0,0,0,False,65536,1536,16,1,64,2.0,4.166666666666666,4.166666666666666,requested_blocks_per_sm,100.0,77.0182821688005,0.3240552504550143,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,32,64.0,2,8,14,0,0,0,False,65536,1536,16,2,64,2.0,4.166666666666666,4.166666666666666,requested_blocks_per_sm,100.0,77.03679174809331,0.41113985172495565,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,32,64.0,2,8,14,0,0,0,False,65536,1536,16,2,64,2.0,4.166666666666666,4.166666666666666,requested_blocks_per_sm,100.0,77.03679174809331,0.41113985172495565,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,128,128.0,1,8,14,0,0,0,False,65536,1536,16,1,128,4.0,8.333333333333332,8.333333333333332,requested_blocks_per_sm,94.44444444444444,153.8756500911245,0.37584111113196156,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,128,128.0,1,8,14,0,0,0,False,65536,1536,16,1,128,4.0,8.333333333333332,8.333333333333332,requested_blocks_per_sm,94.44444444444444,153.8756500911245,0.37584111113196156,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,64,128.0,2,8,14,0,0,0,False,65536,1536,16,2,128,4.0,8.333333333333332,8.333333333333332,requested_blocks_per_sm,99.9,153.8582929251505,0.3752513802876595,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,64,128.0,2,8,14,0,0,0,False,65536,1536,16,2,128,4.0,8.333333333333332,8.333333333333332,requested_blocks_per_sm,99.9,153.8582929251505,0.3752513802876595,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,32,128.0,4,8,14,0,0,0,False,65536,1536,16,4,128,4.0,8.333333333333332,8.333333333333332,requested_blocks_per_sm,100.0,153.62318630587984,0.35085384993090657,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,32,128.0,4,8,14,0,0,0,False,65536,1536,16,4,128,4.0,8.333333333333332,8.333333333333332,requested_blocks_per_sm,100.0,153.62318630587984,0.35085384993090657,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,256,256.0,1,8,14,0,0,0,False,65536,1536,16,1,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,93.75,159.14797052541724,0.30845850528420093,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,256,256.0,1,8,14,0,0,0,False,65536,1536,16,1,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,93.75,159.14797052541724,0.30845850528420093,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,128,256.0,2,8,14,0,0,0,False,65536,1536,16,2,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,99.2,159.136674388988,0.29368389464924827,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,128,256.0,2,8,14,0,0,0,False,65536,1536,16,2,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,99.2,159.136674388988,0.29368389464924827,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,64,256.0,4,8,14,0,0,0,False,65536,1536,16,4,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,92.55555555555556,158.9068704363188,0.3271037722918796,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,64,256.0,4,8,14,0,0,0,False,65536,1536,16,4,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,92.55555555555556,158.9068704363188,0.3271037722918796,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,32,256.0,8,8,14,0,0,0,False,65536,1536,16,8,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,98.22222222222223,158.73515620020646,0.2739995185042505,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,32,256.0,8,8,14,0,0,0,False,65536,1536,16,8,256,8.0,16.666666666666664,16.666666666666664,requested_blocks_per_sm,98.22222222222223,158.73515620020646,0.2739995185042505,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,256,512.0,2,8,14,0,0,0,False,65536,1536,16,2,512,16.0,33.33333333333333,33.33333333333333,requested_blocks_per_sm,100.0,158.75543801759906,0.1571273791686486,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,256,512.0,2,8,14,0,0,0,False,65536,1536,16,2,512,16.0,33.33333333333333,33.33333333333333,requested_blocks_per_sm,100.0,158.75543801759906,0.1571273791686486,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,128,512.0,4,8,14,0,0,0,False,65536,1536,16,4,512,16.0,33.33333333333333,33.33333333333333,requested_blocks_per_sm,100.0,158.98885498352527,0.1587677275116767,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,128,512.0,4,8,14,0,0,0,False,65536,1536,16,4,512,16.0,33.33333333333333,33.33333333333333,requested_blocks_per_sm,100.0,158.98885498352527,0.1587677275116767,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,64,512.0,8,8,14,0,0,0,False,65536,1536,16,8,512,16.0,33.33333333333333,33.33333333333333,requested_blocks_per_sm,100.0,159.00291106839003,0.1262721069041885,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,64,512.0,8,8,14,0,0,0,False,65536,1536,16,8,512,16.0,33.33333333333333,33.33333333333333,requested_blocks_per_sm,100.0,159.00291106839003,0.1262721069041885,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,256,1024.0,4,8,14,0,0,0,False,65536,1536,16,4,1024,32.0,66.66666666666666,66.66666666666666,requested_blocks_per_sm,100.0,158.8857673466459,0.11697108717296253,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
baseline,tensor_baseline_mov,86,ga102,256,1024.0,4,8,14,0,0,0,False,65536,1536,16,4,1024,32.0,66.66666666666666,66.66666666666666,requested_blocks_per_sm,100.0,158.8857673466459,0.11697108717296253,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
test,tensor_mma_f16acc,86,ga102,128,1024.0,8,8,14,0,0,0,False,65536,1536,16,8,1024,32.0,66.66666666666666,66.66666666666666,requested_blocks_per_sm,100.0,158.66764130945134,0.09847000138355588,,unknown,unknown,,results/strict_fp16_launch_shape_rtx3090_20260602_115550,"ga102
strict_fp16_launch_shape_rtx3090_20260602_115550"
