scope,condition,repeat_index,gpu,architecture_generation,architecture_chip,sm_count,test_kernel,baseline_kernel,threads,threads_per_sm,blocks_per_sm_requested,unroll,measurement_grade,baseline_match_grade,required_kernel,required_baseline,required_kernel_baseline_pair,quality_pass,target_pass,positive_increment,no_intended_l2,pure_fp16_candidate,energy_source_reliable,energy_trace_crosscheck_pass,baseline_structural_match,benchmark_schema_current,test_benchmark_schema_version,baseline_benchmark_schema_version,test_timed_kernel_memory_provenance_available,baseline_timed_kernel_memory_provenance_available,test_timed_kernel_memory_provenance_source,baseline_timed_kernel_memory_provenance_source,test_timed_kernel_global_input_loads,baseline_timed_kernel_global_input_loads,test_timed_kernel_global_output_stores,baseline_timed_kernel_global_output_stores,test_timed_kernel_has_intended_global_memory,baseline_timed_kernel_has_intended_global_memory,matmul_denominator_valid,matmul_denominator_note,matmul_denominator_metadata_complete,matmul_denominator_source,energy_signal_reliable,measurement_resolution_reliable,ncu_validation_pass,ncu_validation_context_match,ncu_required,ncu_tensor_activity_required,test_ncu_note,baseline_ncu_note,test_ncu_tensor_activity_note,test_ncu_validation_blocks_per_sm,baseline_ncu_validation_blocks_per_sm,test_ncu_validation_unroll,baseline_ncu_validation_unroll,test_ncu_validation_suppress_output_store,baseline_ncu_validation_suppress_output_store,test_ncu_tensor_activity_pct,baseline_ncu_tensor_activity_pct,test_ncu_sm_activity_pct,baseline_ncu_sm_activity_pct,test_ncu_tensor_activity_observed,baseline_ncu_tensor_activity_observed,test_ncu_memory_counter_classes_complete,test_ncu_common_hmma_seen,test_ncu_hmma_token_seen,test_ncu_tensor_inst_seen,test_ncu_wgmma_token_seen,test_ncu_no_l2,test_ncu_no_dram,test_ncu_no_local_spill,baseline_ncu_memory_counter_classes_complete,baseline_ncu_common_hmma_seen,baseline_ncu_hmma_token_seen,baseline_ncu_tensor_inst_seen,baseline_ncu_wgmma_token_seen,baseline_ncu_no_l2,baseline_ncu_no_dram,baseline_ncu_no_local_spill,clock_stable,sm_util_available,common_hmma_path,tflops,elapsed_s,baseline_elapsed_s,tensor_peak_tflops_model,achieved_flops_per_sm_cycle,tensor_model_utilization_pct,avg_sm_util_pct,matmul_logical_mma_count,matmul_flops_per_logical_mma,matmul_input_bits_per_logical_mma,matmul_input_pj_per_bit,incremental_power_w,test_energy_j,incremental_energy_j,incremental_energy_fraction,baseline_energy_fraction,baseline_power_fraction,clock_span_mhz,test_energy_source,baseline_energy_source,test_energy_counter_vs_trace_ratio,baseline_energy_counter_vs_trace_ratio,test_energy_counter_vs_trace_delta_j,baseline_energy_counter_vs_trace_delta_j,test_power_samples,baseline_power_samples,fail_reasons,warnings
pair,matmul_tensor_mma_f16acc_vs_tensor_baseline,0,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f16acc,tensor_baseline_mov,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,True,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,307.3163037818051,1.4740019531200002,0.42780056762700003,311.86944,2018.1002349737662,98.54005053582843,100.0,55296000000.0,8192.0,8192.0,0.07337171955365038,22.542767760358174,271.412,33.23627605556143,0.12245691441631702,0.877543085583683,0.8775695742997386,0.0,nvml_total_energy_counter,nvml_total_energy_counter,1.019910791529536,1.1659167462742939,5.298529827800053,9.838882542270007,8,2,,baseline elapsed_s 0.4278s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,0,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.2564632790264,1.54467126465,0.739547119141,311.86944,1925.7713637971262,94.03180487290655,99.5,55296000000.0,8192.0,8192.0,0.02361867716176164,6.918361584647414,284.002,10.698902506182833,0.03767192662792104,0.9623280733720789,0.9623697808560525,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9797901864658133,0.9621418159409325,-5.858016892411854,-5.148977175216743,10,4,,incremental energy fraction 0.03767 < warning threshold 0.05; baseline elapsed_s 0.7395s < warning threshold 1s
