sample_unix_ns,timestamp_text,power_w,sm_clock_mhz,mem_clock_mhz,temp_c,pstate,util_gpu_pct,raw
1779942862391122158,2026/05/28 13:34:22.437,16.46,210.0,405.0,42.0,P8,0.0,"2026/05/28 13:34:22.437, 16.46, 210, 405, 42, P8, 0"
1779942862552716506,2026/05/28 13:34:22.586,16.63,210.0,405.0,42.0,P8,0.0,"2026/05/28 13:34:22.586, 16.63, 210, 405, 42, P8, 0"
1779942862705231530,2026/05/28 13:34:22.772,27.95,1740.0,9501.0,42.0,P2,12.0,"2026/05/28 13:34:22.772, 27.95, 1740, 9501, 42, P2, 12"
1779942862931625672,2026/05/28 13:34:22.979,68.88,1935.0,9501.0,51.0,P2,79.0,"2026/05/28 13:34:22.979, 68.88, 1935, 9501, 51, P2, 79"
1779942863092862286,2026/05/28 13:34:23.144,119.84,1935.0,9501.0,51.0,P2,100.0,"2026/05/28 13:34:23.144, 119.84, 1935, 9501, 51, P2, 100"
1779942863260560249,2026/05/28 13:34:23.289,144.04,1950.0,9501.0,51.0,P2,100.0,"2026/05/28 13:34:23.289, 144.04, 1950, 9501, 51, P2, 100"
1779942863406780574,2026/05/28 13:34:23.463,186.41,1950.0,9751.0,58.0,P0,69.0,"2026/05/28 13:34:23.463, 186.41, 1950, 9751, 58, P0, 69"
