source_log,symbol,sm,kernel,unroll,memory_policy_id,stack_frame_bytes,spill_store_bytes,spill_load_bytes,registers_per_thread,has_spills
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main19baseline_nop_kernelILi1EEEvPK7__half2PS1_ib,86,baseline_nop,1,,0,0,0,8,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main19baseline_nop_kernelILi2EEEvPK7__half2PS1_ib,86,baseline_nop,2,,0,0,0,8,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main19baseline_nop_kernelILi4EEEvPK7__half2PS1_ib,86,baseline_nop,4,,0,0,0,8,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main19baseline_nop_kernelILi8EEEvPK7__half2PS1_ib,86,baseline_nop,8,,0,0,0,8,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main19baseline_nop_kernelILi16EEEvPK7__half2PS1_ib,86,baseline_nop,16,,0,0,0,8,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main19baseline_nop_kernelILi32EEEvPK7__half2PS1_ib,86,baseline_nop,32,,0,0,0,8,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main19baseline_nop_kernelILi64EEEvPK7__half2PS1_ib,86,baseline_nop,64,,0,0,0,8,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main23baseline_regmove_kernelILi1EEEvPK7__half2PS1_i,86,baseline_regmove,1,,0,0,0,14,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main23baseline_regmove_kernelILi2EEEvPK7__half2PS1_i,86,baseline_regmove,2,,0,0,0,14,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main23baseline_regmove_kernelILi4EEEvPK7__half2PS1_i,86,baseline_regmove,4,,0,0,0,16,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main23baseline_regmove_kernelILi8EEEvPK7__half2PS1_i,86,baseline_regmove,8,,0,0,0,17,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main23baseline_regmove_kernelILi16EEEvPK7__half2PS1_i,86,baseline_regmove,16,,0,0,0,17,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main23baseline_regmove_kernelILi32EEEvPK7__half2PS1_i,86,baseline_regmove,32,,0,0,0,17,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main23baseline_regmove_kernelILi64EEEvPK7__half2PS1_i,86,baseline_regmove,64,,0,0,0,17,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main17fp16_half2_kernelILi1EEEvPK7__half2PS1_i,86,fp16_half2,1,,0,0,0,14,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main17fp16_half2_kernelILi2EEEvPK7__half2PS1_i,86,fp16_half2,2,,0,0,0,14,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main17fp16_half2_kernelILi4EEEvPK7__half2PS1_i,86,fp16_half2,4,,0,0,0,12,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main17fp16_half2_kernelILi8EEEvPK7__half2PS1_i,86,fp16_half2,8,,0,0,0,13,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main17fp16_half2_kernelILi16EEEvPK7__half2PS1_i,86,fp16_half2,16,,0,0,0,13,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main17fp16_half2_kernelILi32EEEvPK7__half2PS1_i,86,fp16_half2,32,,0,0,0,13,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main17fp16_half2_kernelILi64EEEvPK7__half2PS1_i,86,fp16_half2,64,,0,0,0,13,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi1ELi1EEEvPKjPjmii,86,memory_cg,1,1,0,0,0,18,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi2ELi1EEEvPKjPjmii,86,memory_cg,2,1,0,0,0,22,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi4ELi1EEEvPKjPjmii,86,memory_cg,4,1,0,0,0,27,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi8ELi1EEEvPKjPjmii,86,memory_cg,8,1,0,0,0,14,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi16ELi1EEEvPKjPjmii,86,memory_cg,16,1,0,0,0,84,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi32ELi1EEEvPKjPjmii,86,memory_cg,32,1,0,0,0,164,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi64ELi1EEEvPKjPjmii,86,memory_cg,64,1,0,0,0,254,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi1ELi2EEEvPKjPjmii,86,memory_cs,1,2,0,0,0,18,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi2ELi2EEEvPKjPjmii,86,memory_cs,2,2,0,0,0,22,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi4ELi2EEEvPKjPjmii,86,memory_cs,4,2,0,0,0,27,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi8ELi2EEEvPKjPjmii,86,memory_cs,8,2,0,0,0,14,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi16ELi2EEEvPKjPjmii,86,memory_cs,16,2,0,0,0,84,False
/home/bang001/gpupowermodeling/accelwattch/util/fp16_energy_impl/results/strict_fp16_launch_shape_rtx3090_20260602_115550/build_ptxas.log,_ZN49_GLOBAL__N__3202127d_20_fp16_energy_bench_cu_main20memory_policy_kernelILi32ELi2EEEvPKjPjmii,86,memory_cs,32,2,0,0,0,164,False
