condition,gpu,fp16_path,test_kernel,baseline_kernel,run_count,valid_count,invalid_count,stats_scope,pj_per_flop_n,pj_per_flop_mean,pj_per_flop_std,pj_per_flop_min,pj_per_flop_max,pj_per_flop_ci95,incremental_pj_per_bit_n,incremental_pj_per_bit_mean,incremental_pj_per_bit_std,incremental_pj_per_bit_min,incremental_pj_per_bit_max,incremental_pj_per_bit_ci95,total_pj_per_bit_n,total_pj_per_bit_mean,total_pj_per_bit_std,total_pj_per_bit_min,total_pj_per_bit_max,total_pj_per_bit_ci95,matmul_input_pj_per_bit_n,matmul_input_pj_per_bit_mean,matmul_input_pj_per_bit_std,matmul_input_pj_per_bit_min,matmul_input_pj_per_bit_max,matmul_input_pj_per_bit_ci95,matmul_arithmetic_read_pj_per_bit_n,matmul_arithmetic_read_pj_per_bit_mean,matmul_arithmetic_read_pj_per_bit_std,matmul_arithmetic_read_pj_per_bit_min,matmul_arithmetic_read_pj_per_bit_max,matmul_arithmetic_read_pj_per_bit_ci95,matmul_register_read_write_pj_per_bit_n,matmul_register_read_write_pj_per_bit_mean,matmul_register_read_write_pj_per_bit_std,matmul_register_read_write_pj_per_bit_min,matmul_register_read_write_pj_per_bit_max,matmul_register_read_write_pj_per_bit_ci95,tflops_n,tflops_mean,tflops_std,tflops_min,tflops_max,tflops_ci95,memory_gbps_n,memory_gbps_mean,memory_gbps_std,memory_gbps_min,memory_gbps_max,memory_gbps_ci95,incremental_power_w_n,incremental_power_w_mean,incremental_power_w_std,incremental_power_w_min,incremental_power_w_max,incremental_power_w_ci95,incremental_energy_j_n,incremental_energy_j_mean,incremental_energy_j_std,incremental_energy_j_min,incremental_energy_j_max,incremental_energy_j_ci95,w_per_tflops_n,w_per_tflops_mean,w_per_tflops_std,w_per_tflops_min,w_per_tflops_max,w_per_tflops_ci95,avg_sm_clock_mhz_n,avg_sm_clock_mhz_mean,avg_sm_clock_mhz_std,avg_sm_clock_mhz_min,avg_sm_clock_mhz_max,avg_sm_clock_mhz_ci95,clock_span_mhz_n,clock_span_mhz_mean,clock_span_mhz_std,clock_span_mhz_min,clock_span_mhz_max,clock_span_mhz_ci95,max_temp_c_n,max_temp_c_mean,max_temp_c_std,max_temp_c_min,max_temp_c_max,max_temp_c_ci95,avg_gpu_util_pct_n,avg_gpu_util_pct_mean,avg_gpu_util_pct_std,avg_gpu_util_pct_min,avg_gpu_util_pct_max,avg_gpu_util_pct_ci95,max_gpu_util_pct_n,max_gpu_util_pct_mean,max_gpu_util_pct_std,max_gpu_util_pct_min,max_gpu_util_pct_max,max_gpu_util_pct_ci95,avg_sm_util_pct_n,avg_sm_util_pct_mean,avg_sm_util_pct_std,avg_sm_util_pct_min,avg_sm_util_pct_max,avg_sm_util_pct_ci95,max_sm_util_pct_n,max_sm_util_pct_mean,max_sm_util_pct_std,max_sm_util_pct_min,max_sm_util_pct_max,max_sm_util_pct_ci95
thread_sweep_tensor_mma_f16acc_t032,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,7,3,valid_basic,7,0.26253513045350124,0.13393794997242003,0.19014553502874712,0.5646225566139558,0.09922262188743346,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,7,0.26253513045350124,0.13393794997242003,0.19014553502874712,0.5646225566139558,0.09922262188743346,7,0.17502342030233414,0.08929196664828001,0.12676369001916477,0.3764150377426372,0.06614841459162231,7,0.13126756522675062,0.06696897498621002,0.09507276751437356,0.2823112783069779,0.04961131094371673,7,159.22758784221787,1.6904617152185073,157.7215722028497,162.63828482036178,1.2523115638162814,0,nan,nan,nan,nan,nan,7,32.16447544506875,22.50351883551133,20.504338206801833,82.98324055473077,16.670840049533826,7,112.8680951496683,57.58208913041492,81.74663826070446,242.74036138885447,42.65740858697735,7,0.20087672218377337,0.1369975193817923,0.12935045915609417,0.5102318967910164,0.10148918262475261,7,1930.7142857142858,16.690459207925606,1920.0,1965.0,12.364465212858988,7,0.0,0.0,0.0,0.0,0.0,7,69.14285714285714,6.011892975000232,56.0,73.0,4.453672641764322,7,99.92448979591836,0.03793902210855167,99.9,100.0,0.028105620895578536,7,100.0,0.0,100.0,100.0,0.0,7,99.80952380952382,0.17817416127494706,99.66666666666667,100.0,0.131993265821487,7,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t064,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,9,1,valid_basic,9,0.25139814888770357,0.02180938275332108,0.198504026387425,0.27239495752615245,0.014248796732169772,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,9,0.25139814888770357,0.02180938275332108,0.198504026387425,0.27239495752615245,0.014248796732169772,9,0.1675987659251357,0.01453958850221405,0.13233601759161667,0.18159663835076828,0.009499197821446512,9,0.12569907444385178,0.01090469137666054,0.0992520131937125,0.13619747876307622,0.007124398366084886,9,159.1109183698642,1.414668984228542,157.6597924188432,162.1047637095315,0.9242504030293142,0,nan,nan,nan,nan,nan,9,30.392466951334296,3.5838675042739903,21.77700899767038,33.868225274967045,2.34146010279234,9,108.08012680090978,9.37620608527802,85.34008876902044,117.10699414300655,6.125787975714972,9,0.19092842198369106,0.021757271196470564,0.13812658676992923,0.21151443285937135,0.014214750515027436,9,1926.6666666666667,10.897247358851684,1920.0,1950.0,7.1195349411164335,9,0.0,0.0,0.0,0.0,0.0,9,69.88888888888889,5.085382100797452,57.0,73.0,3.322449639187669,9,99.93042328042328,0.024361976949481164,99.9047619047619,99.95238095238095,0.01591649160699436,9,100.0,0.0,100.0,100.0,0.0,9,100.0,0.0,100.0,100.0,0.0,9,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t096,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,7,3,valid_basic,7,0.2193848243607883,0.011353554844817147,0.20801063048008467,0.2347252382324929,0.008410831132457235,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,7,0.2193848243607883,0.011353554844817147,0.20801063048008467,0.2347252382324929,0.008410831132457235,7,0.14625654957385886,0.007569036563211421,0.1386737536533898,0.15648349215499524,0.005607220754971483,7,0.10969241218039415,0.0056767774224085734,0.10400531524004233,0.11736261911624644,0.0042054155662286175,7,160.1280935312898,1.1031099488258553,158.68087899633613,162.24075897116583,0.8171952861392321,0,nan,nan,nan,nan,nan,7,25.26289539945015,1.7283286303499945,23.333772160135652,27.771284672953698,1.2803637671157104,7,113.18049750175747,5.85729204147982,107.31255779421235,121.09460769119823,4.339142667449359,7,0.15776900946413863,0.010786802672323103,0.14643655208730244,0.17330614006298287,0.007990975247498287,7,1928.5714285714287,11.801936887041647,1920.0,1950.0,8.742997197757758,7,0.0,0.0,0.0,0.0,0.0,7,69.71428571428571,4.785891965429423,59.0,72.0,3.5454383838015477,7,99.9654761904762,0.03603900003897854,99.92,100.0,0.026698064848723602,7,100.0,0.0,100.0,100.0,0.0,7,99.82142857142857,0.1696167481997003,99.66666666666667,100.0,0.12565384549980346,7,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t128,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,10,0,valid_basic,10,0.23054052279408227,0.01854262297728109,0.20159891207975802,0.2521105245070619,0.011492836790788252,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,10,0.23054052279408227,0.01854262297728109,0.20159891207975802,0.2521105245070619,0.011492836790788252,10,0.1536936818627215,0.012361748651520734,0.13439927471983867,0.16807368300470796,0.0076618911938588375,10,0.11527026139704113,0.009271311488640546,0.10079945603987901,0.12605526225353095,0.005746418395394126,10,159.14138553584218,1.9678050577938884,155.7242062458187,162.83031576546315,1.21965821087028,0,nan,nan,nan,nan,nan,10,26.843989660688134,3.132596357811634,21.913498238490092,30.44849394301545,1.9416033382039817,10,118.9357155408292,9.566127920064545,104.00475616980862,130.06366630999435,5.92914751272289,10,0.16864876655755073,0.019415103311156204,0.13870609654038638,0.19192811089901787,0.012033605704263158,10,1927.5,10.606601717798213,1920.0,1950.0,6.574039853849381,10,0.0,0.0,0.0,0.0,0.0,10,70.0,3.7416573867739413,60.0,72.0,2.319103274975049,10,99.95599999999999,0.035023801430835506,99.92,100.0,0.02170797702842527,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t160,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,9,1,valid_basic,9,0.24222553081436868,0.04545722925225312,0.1431860116649846,0.3109180387093928,0.02969872311147204,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,9,0.24222553081436868,0.04545722925225312,0.1431860116649846,0.3109180387093928,0.02969872311147204,9,0.1614836872095791,0.030304819501502083,0.09545734110998971,0.20727869247292852,0.01979914874098136,9,0.12111276540718434,0.02272861462612656,0.0715930058324923,0.1554590193546964,0.01484936155573602,9,159.71516006057067,0.8765871099777051,158.07057825933344,160.39304098318578,0.5727035785187673,0,nan,nan,nan,nan,nan,9,28.717602559779113,6.854203441239973,13.430704030098298,38.867133963297675,4.478079581610115,9,104.13667006167503,19.542797444368333,61.557980300725376,133.6686892766735,12.767960996987311,9,0.17990131395329623,0.043426664682193125,0.08393786781157701,0.24588468259748852,0.028372087592366174,9,1925.0,7.5,1920.0,1935.0,4.8999999999999995,9,0.0,0.0,0.0,0.0,0.0,9,71.22222222222223,1.092906420717,69.0,72.0,0.71403219486844,9,99.84338624338625,0.34425306474678313,98.92857142857143,100.0,0.22491200230123165,9,100.0,0.0,100.0,100.0,0.0,9,99.85185185185186,0.17568209223157413,99.66666666666667,100.0,0.11477896692462843,9,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t192,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,8,2,valid_basic,8,0.14822797916264333,0.016962675957064913,0.12443869455511537,0.1817688590287729,0.011754534732384398,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,8,0.14822797916264333,0.016962675957064913,0.12443869455511537,0.1817688590287729,0.011754534732384398,8,0.09881865277509554,0.011308450638043274,0.08295912970341025,0.12117923935251526,0.007836356488256264,8,0.07411398958132166,0.008481337978532457,0.062219347277557686,0.09088442951438645,0.005877267366192199,8,160.02297734978546,1.0721192085576665,158.0223189233731,161.67571525484405,0.7429407073592508,0,nan,nan,nan,nan,nan,8,14.174607082957483,3.0687238037539353,9.717234110108848,19.311847466635157,2.1265171029985237,8,76.47072432739635,8.751034212942807,64.19784686225773,93.77444385747765,6.0641573216799936,8,0.08853806460449624,0.018912672591773993,0.06079155839620365,0.12038966913201736,0.013105813459204259,8,1927.5,11.338934190276817,1920.0,1950.0,7.857480512225276,8,0.0,0.0,0.0,0.0,0.0,8,70.375,3.2923070504261465,63.0,73.0,2.281452388282516,8,99.97011904761905,0.028975319860145194,99.91666666666667,100.0,0.020078872256954754,8,100.0,0.0,100.0,100.0,0.0,8,100.0,0.0,100.0,100.0,0.0,8,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t224,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,5,5,valid_basic,5,0.08190272876308362,0.013772566324898535,0.06696235770963636,0.10184289838489306,0.012072186654622251,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,5,0.08190272876308362,0.013772566324898535,0.06696235770963636,0.10184289838489306,0.012072186654622251,5,0.05460181917538909,0.009181710883265692,0.044641571806424245,0.06789526558992871,0.008048124436414835,5,0.04095136438154181,0.006886283162449268,0.03348117885481818,0.05092144919244653,0.0060360933273111254,5,159.96516983623786,1.5022744820496952,157.55062570712363,161.68284414017765,1.3168016421887512,0,nan,nan,nan,nan,nan,5,3.231250975466639,2.469908779114726,0.5282245116678723,6.936125883898626,2.1649704999030237,5,49.29582930068504,8.28946835884397,40.30347956750256,61.2974709156648,7.266039381101825,5,0.020165314176115733,0.015289981246227543,0.0033022120026641143,0.042899578621248546,0.0134022594769746,5,1932.0,12.549900398011133,1920.0,1950.0,11.000472717115386,5,0.0,0.0,0.0,0.0,0.0,5,70.0,3.5355339059327378,64.0,73.0,3.0990321069650117,5,99.9512315270936,0.03127205960217597,99.92857142857143,100.0,0.02741116881822107,5,100.0,0.0,100.0,100.0,0.0,5,100.0,0.0,100.0,100.0,0.0,5,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t256,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,0,10,all_runs_no_valid_basic,10,-0.07745701882149328,0.18992569970838682,-0.46118849799311,0.02823421471048233,0.1177171682668172,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,10,-0.07745701882149328,0.18992569970838682,-0.46118849799311,0.02823421471048233,0.1177171682668172,10,-0.05163801254766218,0.12661713313892453,-0.3074589986620733,0.01882280980698822,0.07847811217787813,10,-0.03872850941074664,0.09496284985419341,-0.230594248996555,0.014117107355241165,0.0588585841334086,10,159.49423843936992,1.4524178658867177,156.98231780213274,161.84788888047763,0.900217919822508,0,nan,nan,nan,nan,nan,10,-7.585274685310725,2.1834626130294654,-11.657933910242264,-4.543414215146299,1.3533241484272067,10,-53.280038554854585,130.64340400630843,-317.2358209493849,19.42135227031372,80.97362071575026,10,-0.04759107295605258,0.01388108940094242,-0.07383158930329436,-0.028678629074204088,0.008603588346634456,10,1926.0,10.488088481701515,1920.0,1950.0,6.500584589096584,10,0.0,0.0,0.0,0.0,0.0,10,71.5,2.5055493963954847,65.0,73.0,1.5529556050032822,10,99.9638090463458,0.0272508146883075,99.91176470588235,100.0,0.016890229932003734,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t288,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,0,10,all_runs_no_valid_basic,10,-0.04128821918986207,0.037222626581288325,-0.10596027650851361,0.004361852476845349,0.02307082297619636,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,10,-0.04128821918986207,0.037222626581288325,-0.10596027650851361,0.004361852476845349,0.02307082297619636,10,-0.027525479459908048,0.024815084387525548,-0.07064018433900907,0.002907901651230233,0.015380548650797573,10,-0.020644109594931036,0.018611313290644162,-0.052980138254256806,0.0021809262384226745,0.01153541148809818,10,151.54547156815917,9.35993667037793,137.2313911788837,160.5819918400468,5.801348852132078,0,nan,nan,nan,nan,nan,10,-15.854203568855947,5.0852649715071365,-24.59607422538329,-9.113095238836905,3.151879883825026,10,-31.950850765218867,28.804695632894525,-81.99726334034108,3.3754155611973147,17.853335319538996,10,-0.10583153233392403,0.038327045094947616,-0.17707794056983822,-0.06165813700025411,0.023755348662867704,10,1921.5,4.743416490252569,1920.0,1935.0,2.9399999999999995,10,0.0,0.0,0.0,0.0,0.0,10,71.7,2.1628170930011112,66.0,73.0,1.3405279225406348,10,99.98038689598476,0.019198574980270736,99.95,100.0,0.011899400054366833,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0
thread_sweep_tensor_mma_f16acc_t320,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,10,0,10,all_runs_no_valid_basic,10,-0.09784065665389868,0.10947363376501724,-0.39147367119982657,-0.008096043684248645,0.06785246118078349,0,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,10,-0.09784065665389868,0.10947363376501724,-0.39147367119982657,-0.008096043684248645,0.06785246118078349,10,-0.06522710443593246,0.07298242251001148,-0.260982447466551,-0.005397362456165763,0.04523497412052231,10,-0.04892032832694934,0.05473681688250862,-0.19573683559991328,-0.004048021842124322,0.033926230590391744,10,154.14151138264052,7.686285655284637,139.0531200751021,160.57078370584938,4.764009205806338,0,nan,nan,nan,nan,nan,10,-19.112209330222537,5.647587853691274,-26.78184507977238,-11.293885839338316,3.500411217098975,10,-84.12655880104515,94.1289684990051,-336.60171492666404,-6.961240023848859,58.34173911478299,10,-0.1252145976817521,0.04040051959514521,-0.17999177971115585,-0.07043041284076268,0.025040501472684818,10,1922.7439024390246,5.816063214468508,1920.0,1935.0,3.6048333275552076,10,1.5,4.743416490252569,0.0,15.0,2.9399999999999995,10,72.3,1.7029386365926402,68.0,74.0,1.0554923021983627,10,99.96495820575089,0.016628769421963764,99.95121951219512,100.0,0.010306618067596744,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0,10,100.0,0.0,100.0,100.0,0.0
