condition,pair_index,repeat_index,gpu,fp16_path,test_kernel,baseline_kernel,blocks,threads,threads_per_sm,iters,unroll,elapsed_s,baseline_elapsed_s,fp16_ops,memory_bytes,memory_bits,matmul_input_bits,matmul_accumulator_read_bits,matmul_output_bits,matmul_arithmetic_read_bits,matmul_register_read_write_bits,suppress_output_store,expected_l2_touch,tflops,memory_gbps,test_avg_power_w,baseline_avg_power_w,test_energy_j,baseline_energy_j,baseline_scaled_energy_j,incremental_power_w,incremental_energy_j,pj_per_flop,w_per_tflops,incremental_pj_per_bit,total_pj_per_bit,matmul_input_pj_per_bit,matmul_arithmetic_read_pj_per_bit,matmul_register_read_write_pj_per_bit,test_power_samples,baseline_power_samples,test_sm_util_samples,baseline_sm_util_samples,avg_sm_clock_mhz,clock_span_mhz,max_temp_c,avg_gpu_util_pct,max_gpu_util_pct,avg_sm_util_pct,max_sm_util_pct,valid_basic,test_run_id,baseline_run_id,test_power_csv,baseline_power_csv,test_sm_util_csv,baseline_sm_util_csv
thread_sweep_tensor_mma_f16acc_t032,0,0,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.6433884277299997,1.4508984375,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,162.63828482036178,nan,212.86646899204356,129.8832284373128,586.0721843962591,196.28685555275476,343.33182300740464,82.98324055473077,242.74036138885447,0.5646225566139558,0.5102318967910164,nan,nan,0.5646225566139558,0.3764150377426372,0.2823112783069779,20,10,3,1,1965.0,0.0,56.0,99.9,100.0,100.0,100.0,True,thread_sweep_tensor_mma_f16acc_t032_rep000_test_17709015,thread_sweep_tensor_mma_f16acc_t032_rep000_baseline_de6bdcba,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep000_test_17709015/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep000_baseline_de6bdcba/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep000_test_17709015/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep000_baseline_de6bdcba/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,1,1,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.7148881835900003,1.45848608398,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,158.3550153551832,nan,224.4550974115745,201.01821544612642,634.7432636701067,305.4144115971985,545.7419778010375,23.436881965448094,89.00128586906919,0.2070200986840532,0.14800214513496915,nan,nan,0.2070200986840532,0.1380133991227021,0.1035100493420266,21,12,3,1,1935.0,0.0,68.0,99.95238095238095,100.0,99.66666666666667,100.0,True,thread_sweep_tensor_mma_f16acc_t032_rep001_test_85876efd,thread_sweep_tensor_mma_f16acc_t032_rep001_baseline_3eabc30e,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep001_test_85876efd/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep001_baseline_3eabc30e/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep001_test_85876efd/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep001_baseline_3eabc30e/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,2,2,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.6922177734400004,1.45858349609,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,159.6884784883771,nan,228.66139978495642,296.4331273200473,640.9450076496014,450.25118680537753,798.0625340074338,-67.77172753509086,-157.1175263578324,-0.36546085254816285,-0.42439960713899355,nan,nan,-0.36546085254816285,-0.24364056836544187,-0.18273042627408143,21,13,3,2,1935.0,0.0,70.0,99.95238095238095,100.0,99.66666666666667,100.0,False,thread_sweep_tensor_mma_f16acc_t032_rep002_test_f0376e2a,thread_sweep_tensor_mma_f16acc_t032_rep002_baseline_c82d08d6,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep002_test_f0376e2a/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep002_baseline_c82d08d6/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep002_test_f0376e2a/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep002_baseline_c82d08d6/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,3,3,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.69208276367,1.46155993652,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,159.69648697349626,nan,230.12907932456318,205.99006808297437,651.8353847419486,316.7818185797696,554.5423117733851,24.139011241588804,97.29307296856348,0.22630708501062968,0.1511555557611921,nan,nan,0.22630708501062968,0.15087139000708646,0.11315354250531484,21,12,3,1,1935.0,0.0,71.0,99.9047619047619,100.0,99.66666666666667,100.0,True,thread_sweep_tensor_mma_f16acc_t032_rep003_test_e7f8c23d,thread_sweep_tensor_mma_f16acc_t032_rep003_baseline_a5312e14,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep003_test_e7f8c23d/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep003_baseline_a5312e14/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep003_test_e7f8c23d/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep003_baseline_a5312e14/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,4,4,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.69231713867,1.45928979492,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,159.68258487273823,nan,232.0333067005218,204.9374634564145,650.575208542964,311.4640778741622,551.7566452192616,27.0958432441073,98.81856332370239,0.22985542884385268,0.16968565022730434,nan,nan,0.22985542884385268,0.15323695256256847,0.11492771442192634,21,11,3,1,1920.0,0.0,72.0,99.9047619047619,100.0,99.66666666666667,100.0,True,thread_sweep_tensor_mma_f16acc_t032_rep004_test_938d66c0,thread_sweep_tensor_mma_f16acc_t032_rep004_baseline_39c19b53,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep004_test_938d66c0/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep004_baseline_39c19b53/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep004_test_938d66c0/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep004_baseline_39c19b53/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,5,5,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.6941672363299998,1.4597547607399999,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,159.57293007008454,nan,227.42922692738983,206.22851481988445,344.2161890953821,314.3065366727841,555.6141078247285,21.20071210750538,-211.39791872934643,-0.4917189405705206,0.1328590763997002,nan,nan,-0.4917189405705206,-0.3278126270470137,-0.2458594702852603,17,12,3,1,1920.0,0.0,72.0,99.94117647058823,100.0,99.66666666666667,100.0,False,thread_sweep_tensor_mma_f16acc_t032_rep005_test_fbeedf17,thread_sweep_tensor_mma_f16acc_t032_rep005_baseline_8e5f9bb0,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep005_test_fbeedf17/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep005_baseline_8e5f9bb0/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep005_test_fbeedf17/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep005_baseline_8e5f9bb0/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,6,6,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.7257917480500002,1.47681079102,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,157.7215722028497,nan,232.14286068007988,207.34497735445643,658.9550670049599,318.946988406913,565.1792282723915,24.797883325623445,93.77583873256845,0.218125875362695,0.15722569195373134,nan,nan,0.218125875362695,0.14541725024179666,0.1090629376813475,21,11,3,1,1920.0,0.0,72.0,99.9047619047619,100.0,99.66666666666667,100.0,True,thread_sweep_tensor_mma_f16acc_t032_rep006_test_2691138e,thread_sweep_tensor_mma_f16acc_t032_rep006_baseline_e89c5ab9,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep006_test_2691138e/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep006_baseline_e89c5ab9/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep006_test_2691138e/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep006_baseline_e89c5ab9/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,7,7,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.7213076171900004,1.4694851074200002,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,157.98146350096496,nan,229.9085176981112,207.71438812093018,651.9556520976631,318.1836622809749,565.2547465934474,22.19412957718103,86.70090550421571,0.20166933363057513,0.14048565626210613,nan,nan,0.20166933363057513,0.1344462224203834,0.10083466681528756,21,12,3,1,1920.0,0.0,72.0,99.9047619047619,100.0,100.0,100.0,True,thread_sweep_tensor_mma_f16acc_t032_rep007_test_10ce8bd4,thread_sweep_tensor_mma_f16acc_t032_rep007_baseline_c90fcaaa,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep007_test_10ce8bd4/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep007_baseline_c90fcaaa/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep007_test_10ce8bd4/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep007_baseline_c90fcaaa/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,8,8,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.7251630859400002,1.4784040527300002,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,157.7579566588425,nan,230.8214913107628,206.2252561933134,358.1780360119401,317.6364847001584,561.9974555665372,24.596235117449396,-203.81941955459706,-0.4740910868635342,0.15591121765502883,nan,nan,-0.4740910868635342,-0.31606072457568946,-0.2370455434317671,14,12,3,1,1920.0,0.0,73.0,99.85714285714286,100.0,99.66666666666667,100.0,False,thread_sweep_tensor_mma_f16acc_t032_rep008_test_7513489b,thread_sweep_tensor_mma_f16acc_t032_rep008_baseline_fa370a61,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep008_test_7513489b/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep008_baseline_fa370a61/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep008_test_7513489b/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep008_baseline_fa370a61/sm_util.csv
thread_sweep_tensor_mma_f16acc_t032,9,9,NVIDIA GeForce RTX 3090,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,baseline_nop,656,32,256.0,1000000,8,2.7121018066400002,1.47110192871,429916160000000.0,0.0,0.0,429916160000000.0,214958080000000.0,214958080000000.0,644874240000000.0,859832320000000.0,True,False,158.51770716993084,nan,232.03782169008264,211.5334834832808,655.446980980563,324.23608704051003,573.7003427198586,20.504338206801833,81.74663826070446,0.19014553502874712,0.12935045915609417,nan,nan,0.19014553502874712,0.12676369001916477,0.09507276751437356,20,12,3,1,1920.0,0.0,73.0,100.0,100.0,100.0,100.0,True,thread_sweep_tensor_mma_f16acc_t032_rep009_test_d17d6439,thread_sweep_tensor_mma_f16acc_t032_rep009_baseline_62730c38,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep009_test_d17d6439/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep009_baseline_62730c38/power.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep009_test_d17d6439/sm_util.csv,results/fp16_matmul_thread_sweep_fine_m16n16_smutil_rtx3090_20260528/raw/thread_sweep_tensor_mma_f16acc_t032_rep009_baseline_62730c38/sm_util.csv
