scope,condition,repeat_index,gpu,architecture_generation,architecture_chip,sm_count,test_kernel,baseline_kernel,threads,threads_per_sm,blocks_per_sm_requested,unroll,measurement_grade,baseline_match_grade,required_kernel,required_baseline,required_kernel_baseline_pair,quality_pass,target_pass,positive_increment,no_intended_l2,pure_fp16_candidate,energy_source_reliable,energy_trace_crosscheck_pass,baseline_structural_match,benchmark_schema_current,test_benchmark_schema_version,baseline_benchmark_schema_version,test_timed_kernel_memory_provenance_available,baseline_timed_kernel_memory_provenance_available,test_timed_kernel_memory_provenance_source,baseline_timed_kernel_memory_provenance_source,test_timed_kernel_global_input_loads,baseline_timed_kernel_global_input_loads,test_timed_kernel_global_output_stores,baseline_timed_kernel_global_output_stores,test_timed_kernel_has_intended_global_memory,baseline_timed_kernel_has_intended_global_memory,matmul_denominator_valid,matmul_denominator_note,matmul_denominator_metadata_complete,matmul_denominator_source,energy_signal_reliable,measurement_resolution_reliable,ncu_validation_pass,ncu_validation_context_match,ncu_required,ncu_tensor_activity_required,test_ncu_note,baseline_ncu_note,test_ncu_tensor_activity_note,test_ncu_validation_blocks_per_sm,baseline_ncu_validation_blocks_per_sm,test_ncu_validation_unroll,baseline_ncu_validation_unroll,test_ncu_validation_suppress_output_store,baseline_ncu_validation_suppress_output_store,test_ncu_tensor_activity_pct,baseline_ncu_tensor_activity_pct,test_ncu_sm_activity_pct,baseline_ncu_sm_activity_pct,test_ncu_tensor_activity_observed,baseline_ncu_tensor_activity_observed,test_ncu_memory_counter_classes_complete,test_ncu_common_hmma_seen,test_ncu_hmma_token_seen,test_ncu_tensor_inst_seen,test_ncu_wgmma_token_seen,test_ncu_no_l2,test_ncu_no_dram,test_ncu_no_local_spill,baseline_ncu_memory_counter_classes_complete,baseline_ncu_common_hmma_seen,baseline_ncu_hmma_token_seen,baseline_ncu_tensor_inst_seen,baseline_ncu_wgmma_token_seen,baseline_ncu_no_l2,baseline_ncu_no_dram,baseline_ncu_no_local_spill,clock_stable,sm_util_available,common_hmma_path,tflops,elapsed_s,baseline_elapsed_s,tensor_peak_tflops_model,achieved_flops_per_sm_cycle,tensor_model_utilization_pct,avg_sm_util_pct,matmul_logical_mma_count,matmul_flops_per_logical_mma,matmul_input_bits_per_logical_mma,matmul_input_pj_per_bit,incremental_power_w,test_energy_j,incremental_energy_j,incremental_energy_fraction,baseline_energy_fraction,baseline_power_fraction,clock_span_mhz,test_energy_source,baseline_energy_source,test_energy_counter_vs_trace_ratio,baseline_energy_counter_vs_trace_ratio,test_energy_counter_vs_trace_delta_j,baseline_energy_counter_vs_trace_delta_j,test_power_samples,baseline_power_samples,fail_reasons,warnings
pair,matmul_tensor_mma_f16acc_vs_tensor_baseline,3,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f16acc,tensor_baseline_mov,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,True,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,307.2452367624459,1.47434289551,0.428076019287,311.86944,2017.633548479419,98.51726310934663,100.0,55296000000.0,8192.0,8192.0,0.15400040913542554,47.312825968158705,259.508,69.759849460142,0.2688157955058881,0.7311842044941119,0.7311969419395608,0.0,nvml_total_energy_counter,nvml_total_energy_counter,1.020167028541112,0.9668839232049007,5.13004742971458,-1.887089483432149,11,3,,baseline elapsed_s 0.4281s < warning threshold 1s
pair,matmul_tensor_mma_f16acc_vs_tensor_baseline,4,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f16acc,tensor_baseline_mov,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,True,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,307.3067092141355,1.4740479736299998,0.42783129882800003,311.86944,2018.0372288818985,98.53697406649894,100.0,55296000000.0,8192.0,8192.0,0.11418705697987154,35.08666686969619,242.715,51.725004822601534,0.21311004603177197,0.786889953968228,0.7869080274895159,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9584168497233133,0.9656152996929332,-10.530756342941714,-1.9740621669199214,12,3,,baseline elapsed_s 0.4278s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,0,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.3015689569382,1.54443371582,0.738002929688,311.86944,1926.06756604241,94.04626787316455,99.0,55296000000.0,8192.0,8192.0,0.0233535135539333,6.846500543973775,271.119,10.5787874138382,0.03901898212164473,0.9609810178783552,0.9609981067021626,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9810225976156784,0.9392629298263031,-5.244664464957111,-8.05093782337839,12,6,,incremental energy fraction 0.03902 < warning threshold 0.05; baseline elapsed_s 0.738s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,1,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,False,False,False,False,False,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,False,False,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.42822177077795,1.54376708984,0.737993713379,311.86944,1926.8992761411737,94.08687871783076,100.0,55296000000.0,8192.0,8192.0,-0.022951201415344145,-6.737765527310216,289.717,-10.39654611732783,-0.03588517800932576,1.0358851780093257,1.0359030364117043,0.0,nvml_total_energy_counter,nvml_total_energy_counter,1.0329518526378334,1.0898983029271945,9.242165417774174,11.834195061626673,12,6,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; incremental energy fraction is missing or nonpositive; baseline energy fraction 1.036 > 0.99; incremental energy is below 0.1 J or missing,baseline elapsed_s 0.738s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,2,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,False,False,False,False,False,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,False,False,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.3346305409251,1.54425964355,0.738100219727,311.86944,1926.2846765230177,94.05686897085046,100.0,55296000000.0,8192.0,8192.0,-0.022667724218518565,-6.652285633767235,290.201,-10.268135246947963,-0.035382838952822224,1.0353828389528221,1.035399682851911,0.0,nvml_total_energy_counter,nvml_total_energy_counter,1.0284784173921242,1.1083333687895758,8.035623369295138,14.037853769406098,12,6,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; incremental energy fraction is missing or nonpositive; baseline energy fraction 1.035 > 0.99; incremental energy is below 0.1 J or missing,baseline elapsed_s 0.7381s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,3,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.4543034210982,1.5436298828100001,0.737872924805,311.86944,1927.0705504406237,94.09524172073358,100.0,55296000000.0,8192.0,8192.0,0.02146205381150693,6.2953820411958645,273.225,9.721984840180426,0.035582339976870436,0.9644176600231296,0.9644326440631752,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9825647496955441,0.9476585081570806,-4.84827719080198,-6.957188627303466,12,6,,incremental energy fraction 0.03558 < warning threshold 0.05; baseline elapsed_s 0.7379s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,4,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.5022092035395,1.5433779296899999,0.737837036133,311.86944,1927.3851405538448,94.11060256610571,100.0,55296000000.0,8192.0,8192.0,0.02189225683103404,6.421416490764443,273.442,9.916860282706807,0.036266777900640014,0.96373322209936,0.9637550311745224,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9867955016178374,0.9476560284528207,-3.6589794346404005,-6.959027783556053,11,6,,incremental energy fraction 0.03627 < warning threshold 0.05; baseline elapsed_s 0.7378s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,5,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.44165649022335,1.5436964111299998,0.737808410645,311.86944,1926.9874999357983,94.09118652030266,100.0,55296000000.0,8192.0,8192.0,0.021857872825502923,6.410860655673247,273.354,9.901284849737806,0.03622147416806707,0.9637785258319329,0.9637956692735185,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9834402242895434,0.9631717235873467,-4.602903987200989,-4.814849665060763,12,6,,incremental energy fraction 0.03622 < warning threshold 0.05; baseline elapsed_s 0.7378s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,6,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.4877940460452,1.54345373535,0.737806335449,311.86944,1927.2904783690915,94.10598038911579,99.0,55296000000.0,8192.0,8192.0,0.019144102763862195,5.615730166041573,273.739,8.671988174278852,0.03167976859080676,0.9683202314091932,0.9683356846258864,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9880072371699221,0.952564824020196,-3.3227356853643073,-6.309918093957961,12,6,,incremental energy fraction 0.03168 < warning threshold 0.05; baseline elapsed_s 0.7378s < warning threshold 1s
pair,matmul_tensor_mma_f32acc_vs_tensor_baseline,0,NVIDIA A100-SXM4-80GB,ampere,ga100,108,tensor_mma_f32acc,tensor_baseline_f32,256,2048.0,8,8,strict_nvml_counter,structural_baseline,tensor_mma_f16acc,tensor_baseline_mov,False,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,True,bench_json_metadata,bench_json_metadata,False,False,False,False,False,False,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,293.39845629997086,1.54392370605,0.738245605469,311.86944,1926.7038107431763,94.07733450894415,100.0,55296000000.0,8192.0,8192.0,0.015754612002718743,4.619622981700246,278.323,7.136600271276734,0.025641431973917838,0.9743585680260821,0.9743734636692237,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9863308214115937,0.966874569231988,-3.857171153605691,-4.442706811757404,12,6,,incremental energy fraction 0.02564 < warning threshold 0.05; baseline elapsed_s 0.7382s < warning threshold 1s
