gpu,architecture_generation,architecture_chip,recommended_cuda_arch,fp16_path,test_kernel,baseline_kernel,threads,threads_per_sm,blocks_per_sm_requested,fit_scope,point_count,run_count,distinct_matmul_input_bits,unroll_values,iters_values,valid_no_l2_count,denominator_valid_count,slope_incremental_j_per_input_bit,slope_matmul_input_pj_per_bit,slope_intercept_energy_j,slope_r2,slope_valid,slope_note
NVIDIA GeForce RTX 3090,ampere,ga102,86,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,tensor_baseline_mov,64,512.0,8,valid_no_l2,5,5,4.2991616e+13;8.5983232e+13;1.71966464e+14;3.43932928e+14;6.87865856e+14,1;16;2;4;8,2000000,5,5,2.0249290595566405e-13,0.20249290595566405,-12.316418121336568,0.8815008903382031,True,positive incremental-energy slope across work sweep
NVIDIA GeForce RTX 3090,ampere,ga102,86,tensor_core_mma_m16n16k16_f16acc,tensor_mma_f16acc,tensor_baseline_mov,128,1024.0,8,valid_no_l2,3,5,8.5983232e+13;6.87865856e+14;1.375731712e+15,1;16;2;4;8,2000000,3,5,1.7906429383566936e-13,0.17906429383566935,-35.990268333776726,0.8103140771194652,True,positive incremental-energy slope across work sweep
