stage,target_pct,n,repeat_min_used,repeat_max_used,bandwidth_gbs_median,bandwidth_gbs_iqr,avg_power_w_median,avg_power_w_iqr,avg_power_w_mean,avg_power_w_std
control_dram,50,4,1,4,18021.07435572758,0.25652527898273547,280.9258756332674,1.6030571295360687,282.3829137893072,2.6166801273138405
control_dram,75,4,1,4,27033.818357380303,0.09707037640328053,360.3696446879243,3.9073115864882766,361.8006682137161,3.697048132317473
control_dram,100,4,1,4,36234.61156757467,20.673345890754717,443.84952409732966,3.044331214502961,443.32310181476623,3.632866259262789
control_l2,50,4,1,4,2148.2080679291485,0.04638477128219165,149.50580412128295,2.0931023156870765,149.4973715416624,1.213447611831419
control_l2,75,4,1,4,3222.5699229514294,0.08506657520456429,164.2353484033125,2.410297981764103,164.320438045339,1.3922093393931925
control_l2,100,4,1,4,17503.2305724206,33.339650565761985,356.1843531844486,4.168043232890625,356.865874665083,2.979533083452762
dram,50,4,1,4,1545.4091399158153,0.03561863023605838,266.83259832980355,1.753016147496453,267.11887725750313,1.156920943125755
dram,75,4,1,4,2327.2674286426077,0.006610367253415461,339.50002669446167,3.5122610673026315,339.40841893717675,2.753276047900957
dram,100,4,1,4,3080.4078640801145,0.19468039438424967,406.7373491183117,1.1953842204825378,406.9336996693121,1.2571892941344762
l2,50,4,1,4,1673.9730125864585,0.09886304238307275,176.73873016378496,1.3123028028171007,177.3242253185166,1.3982234962803757
l2,75,4,1,4,2511.2073491730835,0.046993447248041775,206.3541970490905,3.011513475063026,206.52814593874967,1.6737487488581095
l2,100,4,1,4,7251.712048961546,34.80370044297706,367.7712122707989,2.587734408422307,367.66509373345355,1.9409812353209066
