stage,n_points,targets,slope_w_per_gbs,intercept_w,r2,max_abs_residual_w,pj_per_nominal_bit
control_l2,3,"50,75,100",0.013451949402156152,120.74183329700996,0.9999985486683092,0.14366755784968177,1.6814936752695189
l2,3,"50,75,100",0.03418143100988636,119.97826352637284,0.9999759989112227,0.5392727654382838,4.272678876235795
control_dram,3,"50,75,100",0.008945640137518687,119.31946405541682,0.9999304320275617,0.784629935663304,1.118205017189836
dram,3,"50,75,100",0.09115466156844892,126.42130527618694,0.9998653575419211,0.9374465810834636,11.394332696056116
