t_s,mem_util_pct,gpu_util_pct,bandwidth_gbps,phase
0.0007111539889592677,2,19,17.85,util_25
0.02154214499751106,2,19,17.85,util_25
0.04258054299862124,2,19,17.85,util_25
0.06426950998138636,2,19,17.85,util_25
0.08649915497517213,2,19,17.85,util_25
0.10804129997268319,34,28,303.48,util_25
0.1296160839847289,34,28,303.48,util_25
0.15052043498144485,34,28,303.48,util_25
0.1711753589916043,34,28,303.48,util_25
0.19208999097463675,34,28,303.48,util_25
0.21287127598770894,34,28,303.48,util_25
0.23474409600021318,34,28,303.48,util_25
0.25588070799130946,34,28,303.48,util_25
0.27707930299220607,34,28,303.48,util_25
0.30064462099107914,30,27,267.78,util_25
0.3214369839988649,30,27,267.78,util_25
0.34206545798224397,30,27,267.78,util_25
0.36281320598209277,30,27,267.78,util_25
0.3835977839771658,30,27,267.78,util_25
0.4044104099739343,30,27,267.78,util_25
0.4252412999921944,30,27,267.78,util_25
0.4461610939761158,30,27,267.78,util_25
0.46699328697286546,30,27,267.78,util_25
0.4881351999938488,30,27,267.78,util_25
0.508849861973431,30,25,267.78,util_25
0.5295115539920516,30,25,267.78,util_25
0.5502631939889397,30,25,267.78,util_25
0.5709823529759888,30,25,267.78,util_25
0.5917427879758179,30,25,267.78,util_25
0.6137740839913022,30,25,267.78,util_25
0.6356388769927435,30,25,267.78,util_25
0.6566500669869129,30,25,267.78,util_25
0.6774656689958647,30,25,267.78,util_25
0.7001435899874195,30,27,267.78,util_25
0.721002767997561,30,27,267.78,util_25
0.7417697989731096,30,27,267.78,util_25
0.7626053899875842,30,27,267.78,util_25
0.7834654669859447,30,27,267.78,util_25
0.8042491879896261,30,27,267.78,util_25
0.8250201169867069,30,27,267.78,util_25
0.845895185979316,30,27,267.78,util_25
0.8667003939917777,30,27,267.78,util_25
0.887840408977354,30,27,267.78,util_25
0.9093925839988515,30,28,267.78,util_25
0.9302637539803982,30,28,267.78,util_25
0.9509766169940121,30,28,267.78,util_25
0.9716670919733588,30,28,267.78,util_25
0.9924383209727239,30,28,267.78,util_25
1.0136478949862067,30,28,267.78,util_25
1.0347217479720712,30,28,267.78,util_25
1.0557828079909086,30,28,267.78,util_25
1.0768060899863485,30,28,267.78,util_25
1.0997917319764383,30,28,267.78,util_25
1.1207080759922974,30,28,267.78,util_25
1.1415463659795932,30,28,267.78,util_25
1.1623940499848686,30,28,267.78,util_25
1.1843396959884558,30,28,267.78,util_25
1.2061167399806436,30,28,267.78,util_25
1.2278066349972505,30,28,267.78,util_25
1.2489054729812779,30,28,267.78,util_25
1.26986189399031,30,28,267.78,util_25
