repeat,stage,target_pct,phase,t0_s,t1_s,wall_s,launches,passes_per_launch,nominal_bytes,nominal_bandwidth_gbs,total_energy_j,idle_energy_j,dynamic_energy_j,avg_power_w,dynamic_power_w,pj_per_nominal_bit,samples,power_std_w,power_p05_w,power_p50_w,power_p95_w,sm_clock_mhz_mean,mem_clock_mhz_mean,temp_gpu_c_mean,pstate_p50,gpu_util_pct_mean,mem_util_pct_mean,avg_power_instant_w,avg_power_average_w,power_instant_samples,power_average_samples
0,control_l2,50,r00_control_l2_read_050,0.0005606129998341203,1.0014858770300634,1.0009252640302293,2,82237,2155793612800,2153.800778411456,131.83359484578642,115.4693841202804,16.364210725506027,131.7117267226905,16.349083506610146,0.9488507288188275,98,9.081812590031236,116.655,130.279,144.875,1980.0,2619.0,41.234693877551024,0.0,12.33673469387755,0.0,159.63585714285713,133.84965306122447,98,98
0,l2,50,r00_l2_read_cg_050,1.20414836803684,2.204957660054788,1.0008092920179479,2,62004,1625397657600,1624.083299948869,155.31361880233916,115.45600528240453,39.85761351993463,155.18802637131577,39.825383155235386,3.065220173473338,99,13.739265068421412,134.81,158.21,171.459,1980.0,2619.0,41.75757575757576,0.0,22.626262626262626,0.0,177.42992929292927,156.21516161616162,99,99
0,control_dram,50,r00_control_dram_read_050,2.406108925002627,3.4066447260556743,1.0005358010530472,2,2055,17652315586560,17642.862522241816,212.84640260160302,115.42445464179787,97.42194795980515,212.73242034676394,97.36977713068356,0.6898666316756455,98,40.590503434122446,143.962,207.512,277.261,1980.0,2619.0,45.42857142857143,0.0,41.734693877551024,0.0,272.5613979591837,216.43860204081633,98,98
0,dram,50,r00_dram_read_cs_050,3.6077825850225054,4.608319198014215,1.0005366129917093,2,181,1554778161152,1553.944294455203,241.24919051905118,115.42454830918805,125.82464220986313,241.11980250047105,125.75715928439067,10.115964237997336,99,21.93826361920776,209.21,244.478,271.933,1980.0,2619.0,42.535353535353536,0.0,38.77777777777778,41.93939393939394,281.2160606060606,242.906797979798,99,99
0,control_l2,100,r00_control_l2_read_100,4.809579568041954,5.918198585044593,1.1086190170026384,9,164474,19402142515200,17501.18139562261,298.73627012867996,127.89322012103713,170.84305000764283,269.4670265862569,154.10438337017652,1.100671291030109,109,43.27229004353305,214.593,260.744,359.392,1980.0,2619.0,47.330275229357795,0.0,80.37614678899082,0.6605504587155964,334.6127431192661,272.54205504587156,109,109
0,l2,100,r00_l2_read_cg_100,6.1193423549993895,7.248763000010513,1.1294206450111233,5,124008,8126988288000,7195.71430175155,364.02948488114464,130.2929509112936,233.73653396985105,322.3152387811712,206.95259556509086,3.595066919115927,111,18.06991750699717,312.141,320.686,374.665,1980.0,2619.0,46.729729729729726,0.0,83.92792792792793,0.0,353.8717927927928,326.7872882882883,111,111
0,control_dram,100,r00_control_dram_read_100,7.449608420021832,8.918217641999945,1.468609221978113,3,4110,52956946759680,36059.24977670419,559.1784512444722,169.42264169890646,389.75580954556574,380.7537382145117,265.39109499843136,0.9199827251047151,145,45.734479387465655,321.019,369.694,446.964,1980.0,2619.0,50.220689655172414,0.0,86.26206896551724,0.0,415.10561379310343,383.16952413793103,145,145
0,dram,100,r00_dram_read_cs_100,9.119500419008546,10.124586294055916,1.0050858750473708,2,363,3118146256896,3102.368000892499,368.97305226907525,115.94936320461179,253.02368906446347,367.1059970389945,251.74335382291406,10.143193592382163,98,11.370480871537488,357.892,370.021,397.45,1980.0,2619.0,44.816326530612244,0.0,79.21428571428571,65.22448979591837,375.65170408163266,372.0632959183674,98,98
1,control_l2,50,r01_control_l2_read_050,10.325509315007366,11.326437991054263,1.0009286760468967,2,82237,2155793612800,2153.793436425628,247.69592344060905,115.46977773954185,132.2261457010672,247.46610759406767,132.10346437798728,7.666906569579293,98,74.5350572377573,147.927,261.972,362.427,1980.0,2619.0,42.19387755102041,0.0,17.785714285714285,6.244897959183674,121.4578775510204,251.9501530612245,98,98
1,l2,50,r01_l2_read_cg_050,11.527612734003924,12.528423906012904,1.00081117200898,2,62004,1625397657600,1624.0802491615427,157.5410427014157,115.45622216313923,42.084820538276475,157.41335339530175,42.050710179221355,3.236501875517751,99,13.953520027141609,132.437,160.004,173.622,1980.0,2619.0,41.78787878787879,0.0,22.646464646464647,0.0,161.94066666666666,158.49660606060607,99,99
1,control_dram,50,r01_control_dram_read_050,12.729660080047324,13.730215641029645,1.0005555609823205,2,2055,17652315586560,17642.514094099282,216.3396563526508,115.4267341994686,100.9129221531822,216.21953321638023,100.85689000029984,0.7145870017615039,99,40.47088305565067,153.88830000000002,220.55,276.484,1980.0,2619.0,45.0,0.0,45.19191919191919,0.0,219.98146464646464,217.76822222222222,99,99
1,dram,50,r01_dram_read_cs_050,13.931658930028789,14.932177964015864,1.000519033987075,2,181,1554778161152,1553.971597078167,240.93532248421027,115.42252034874835,125.51280213546192,240.81033373656211,125.44769052048171,10.090893131215601,99,21.952729942672843,215.835,247.77,273.285,1980.0,2619.0,42.35353535353536,0.0,41.63636363636363,45.484848484848484,212.21854545454545,242.62423232323232,99,99
