stage,n_points,targets,slope_w_per_gbs,intercept_w,r2,max_abs_residual_w,pj_per_nominal_bit
control_l2,2,"50,100",0.00872550806776527,199.83547173718569,1.0,2.2737367544323206e-13,1.0906885084706588
l2,2,"50,100",0.06463442137548589,101.1751717313309,1.0,1.1368683772161603e-13,8.079302671935736
control_dram,2,"50,100",0.015182254258634361,65.69459781077762,1.0,5.684341886080802e-14,1.897781782329295
dram,2,"50,100",0.08625551334223786,124.26306186017317,1.0,5.684341886080802e-14,10.781939167779733
