repeat,stage,target_pct,phase,t0_s,t1_s,wall_s,launches,passes_per_launch,nominal_bytes,nominal_bandwidth_gbs,total_energy_j,idle_energy_j,dynamic_energy_j,avg_power_w,dynamic_power_w,pj_per_nominal_bit,samples,power_std_w,power_p05_w,power_p50_w,power_p95_w,sm_clock_mhz_mean,mem_clock_mhz_mean,temp_gpu_c_mean,pstate_p50,gpu_util_pct_mean,mem_util_pct_mean,avg_power_instant_w,avg_power_average_w,power_instant_samples,power_average_samples
0,control_l2,50,r00_control_l2_write_address_050,0.0007936900365166366,1.0015313870389946,1.000737697002478,2,65928,1728262963200,1726.9889686145405,140.93411547817766,116.53566846080408,24.398447017373584,140.83022544301005,24.380461623914595,1.7646654138353857,98,13.125122461041911,116.531,137.866,158.839,1980.0,2619.0,40.97959183673469,0.0,19.06122448979592,0.0,171.09889795918366,143.25635714285713,98,98
0,l2,50,r00_l2_write_wb_address_050,1.2034042060258798,2.2039055070490576,1.0005013010231778,2,45290,1187250176000,1186.6553044817038,176.9495677304312,116.5081402048468,60.4414275255844,176.86090717670336,60.41114335760789,6.363594289918261,99,20.508021561260033,142.946,177.948,203.5683,1980.0,2619.0,41.515151515151516,0.0,29.727272727272727,0.0,183.8418585858586,177.97919191919192,99,99
0,control_dram,50,r00_control_dram_write_address_050,2.4052832340239547,3.405875096039381,1.0005918620154262,2,1201,10316511444992,10310.409105478962,222.88143683986212,116.51868601100534,106.36275082885678,222.74959981278155,106.29983599368609,1.2887441577996919,98,34.62847782096559,172.021,224.732,276.651,1980.0,2619.0,44.244897959183675,0.0,40.5,0.0,235.7165918367347,226.327193877551,98,98
0,dram,50,r00_dram_write_cs_address_050,3.607173524040263,4.607534326030873,1.0003608019906096,2,186,1597727834112,1597.1515786431203,262.2671995649248,116.49177912568742,145.7754204392374,262.1726071663758,145.7228433472804,11.404900863501714,99,32.04637661422274,217.829,265.258,309.771,1980.0,2619.0,43.121212121212125,0.0,38.72727272727273,44.62626262626262,290.5704242424242,263.9770202020202,99,99
0,control_l2,100,r00_control_l2_write_address_100,4.808573112997692,5.899224566004705,1.0906514530070126,6,131857,10369656422400,9507.763817496445,308.051580060829,127.00610411161992,181.04547594920908,282.44732009617405,165.99755627707856,2.1823948231076864,108,37.25828236635719,232.743,274.218,359.727,1980.0,2619.0,46.93518518518518,0.0,64.18518518518519,0.0,345.0839907407407,285.38275,108,108
0,l2,100,r00_l2_write_wb_address_100,6.100573025003541,7.378270747023635,1.2776977220200934,4,90580,4749000704000,3716.842115435278,433.9720892373944,148.78759796143618,285.18449127595824,339.65161067303654,223.20184685394108,7.506434222986963,126,25.10038640077461,319.207,332.583,390.039,1980.0,2619.0,46.61904761904762,0.0,86.03174603174604,0.0,375.77357936507934,343.51799206349204,126,126
0,control_dram,100,r00_control_dram_write_address_100,7.579630695050582,9.049729450023733,1.4700987549731508,3,2403,30962419236864,21061.45531524478,565.0133101211288,171.1926528073697,393.8206573137591,384.3369761451488,267.8872123260533,1.5899139465694367,145,41.59533237923545,336.937,372.356,443.695,1980.0,2619.0,50.12413793103448,0.0,87.09655172413792,0.0,396.9427724137931,386.69192413793104,145,145
0,dram,100,r00_dram_write_cs_address_100,9.251750268042088,10.253229385009035,1.001479116966948,2,372,3195455668224,3190.7361961791767,396.6725887016019,116.62200664055737,280.05058206104457,396.08673009872996,279.6369662796345,10.955033144642783,98,21.210435661387436,379.99,400.06,433.62254999999965,1980.0,2619.0,46.48979591836735,0.0,78.85714285714286,63.87755102040816,461.3495306122449,403.65618367346934,98,98
1,control_l2,50,r01_control_l2_write_address_050,10.454649357998278,11.45551850902848,1.0008691510302015,2,65928,1728262963200,1726.7621461018027,289.22761542717745,116.55097625128555,172.67663917589192,288.9764512468723,172.52668742777684,12.48917575426203,99,91.23127250863791,165.651,276.412,420.499,1980.0,2619.0,42.72727272727273,0.0,23.68686868686869,6.01010101010101,167.24035353535356,291.24610101010103,99,99
1,l2,50,r01_l2_write_wb_address_050,11.65715166600421,12.657893530034926,1.000741864030715,2,45290,1187250176000,1186.3700507322442,179.00125317825484,116.53615371025812,62.46509946799672,178.8685570295687,62.41879321047323,6.576657212893595,99,19.05102786610279,142.303,183.675,203.249,1980.0,2619.0,42.5959595959596,0.0,31.434343434343436,0.0,218.73880808080807,180.12494949494948,99,99
