stage,target_pct,n,repeat_min_used,repeat_max_used,bandwidth_gbs_median,bandwidth_gbs_iqr,avg_power_w_median,avg_power_w_iqr,avg_power_w_mean,avg_power_w_std
control_dram,50,2,0,1,17642.68830817055,0.17421407126676058,214.4759767815721,1.743556434808113,214.4759767815721,1.7435564348081414
control_dram,100,2,0,1,36063.54505442454,4.295277720346348,380.8009226389428,0.04718442443100912,380.8009226389428,0.04718442443103754
control_l2,50,2,0,1,2153.797107418542,0.0036709929145217757,189.5889171583791,57.87719043568856,189.5889171583791,57.877190435688576
control_l2,100,2,0,1,17500.173285263576,1.0081103590346174,269.2538221969472,0.21320438930968066,269.2538221969472,0.21320438930968066
dram,50,2,0,1,1553.957945766685,0.013651311481908124,240.96506811851657,0.1547343819544551,240.96506811851657,0.1547343819544693
dram,100,2,0,1,3102.585024158684,0.21702326618515144,367.180552706358,0.07455566736359742,367.180552706358,0.07455566736354058
l2,50,2,0,1,1624.0817745552058,0.0015253936630870157,156.30068988330876,1.1126635119929915,156.30068988330876,1.1126635119929915
l2,100,2,0,1,7231.673029303705,35.958727552154414,323.59149334413075,1.2762545629595365,323.59149334413075,1.2762545629595081
